distance_m,mean_delta_s,median_delta_s,stddev_s,20260817T075848.967340Z-b21b0cca,20260817T080045.212818Z-1a67833d,20260817T080447.012719Z-a16fa874,20260817T080645.455659Z-8094e296,20260817T081048.550838Z-7aea19b1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
4.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
6.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
8.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
10.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
12.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
14.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
16.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
18.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
20.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
22.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
24.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
26.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
28.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
30.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
32.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
34.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
36.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
38.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
40.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
42.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
44.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
46.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
48.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
50.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
52.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
54.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
56.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
58.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
60.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
62.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
64.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
66.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
68.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
70.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
72.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
74.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
76.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
78.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
80.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
82.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
84.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
86.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
88.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
90.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
92.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
94.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
96.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
98.0,-8.881784197001252e-16,-8.881784197001252e-16,3.76822190084106e-15,8.881784197001252e-16,-8.881784197001252e-16,-4.440892098500626e-15,-4.440892098500626e-15,4.440892098500626e-15
100.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
102.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
104.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
106.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
108.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
110.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
112.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
114.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
116.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
118.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
120.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
122.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
124.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
126.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
128.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
130.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
132.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
134.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
136.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
138.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
140.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
142.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
144.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
146.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
148.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
150.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
152.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
154.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
156.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
158.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
160.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
162.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
164.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
166.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
168.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
170.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
172.0,-3.552713678800501e-16,0.0,3.1776437161565094e-15,1.7763568394002505e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,3.552713678800501e-15
174.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
176.0,-1.4210854715202005e-15,-1.7763568394002505e-15,4.423092860146743e-15,0.0,-1.7763568394002505e-15,-5.329070518200751e-15,-5.329070518200751e-15,5.329070518200751e-15
